SA2_MAIN11,SA2_5DIG11,SA2_NAME11,ADAPT_NO
212011287,21287,Beaconsfield - Officer,183
212011288,21288,Bunyip - Garfield,184
212011289,21289,Emerald - Cockatoo,185
212011290,21290,Koo Wee Rup,186
212011291,21291,Pakenham - North,187
212011292,21292,Pakenham - South,188
212021293,21293,Berwick - North,189
212021294,21294,Berwick - South,190
212021295,21295,Doveton,191
212021296,21296,Endeavour Hills,192
212021297,21297,Hallam,193
212021298,21298,Narre Warren,194
212021299,21299,Narre Warren North,195
212031300,21300,Cranbourne,196
212031301,21301,Cranbourne East,197
212031302,21302,Cranbourne North,198
212031303,21303,Cranbourne South,199
212031304,21304,Cranbourne West,200
212031305,21305,Hampton Park - Lynbrook,201
212031306,21306,Lynbrook - Lyndhurst,202
212031307,21307,Narre Warren South,203
212031308,21308,Pearcedale - Tooradin,204
212041309,21309,Clarinda - Oakleigh South,205
212041310,21310,Clayton South,206
212041311,21311,Dandenong,207
212041312,21312,Dandenong North,208
212041313,21313,Dingley Village,209
212041314,21314,Keysborough,210
212041315,21315,Noble Park,211
212041316,21316,Noble Park North,212
212041317,21317,Springvale,213
212041318,21318,Springvale South,214
212051319,21319,Ashwood - Chadstone,215
212051320,21320,Clayton,216
212051321,21321,Glen Waverley - East,217
212051322,21322,Glen Waverley - West,218
212051323,21323,Mount Waverley - North,219
212051324,21324,Mount Waverley - South,220
212051325,21325,Mulgrave,221
212051326,21326,Oakleigh - Huntingdale,222
212051327,21327,Wheelers Hill,223
213011328,21328,Ardeer - Albion,224
213011329,21329,Cairnlea,225
213011330,21330,Deer Park - Derrimut,226
213011331,21331,Delahey,227
213011332,21332,Keilor Downs,228
213011333,21333,Kings Park (Vic.),229
213011334,21334,St Albans - North,230
213011335,21335,St Albans - South,231
213011336,21336,Sunshine,232
213011337,21337,Sunshine North,233
213011338,21338,Sunshine West,234
213011339,21339,Sydenham,235
213011340,21340,Taylors Lakes,236
213021341,21341,Altona,237
213021342,21342,Altona Meadows,238
213021343,21343,Altona North,239
213021344,21344,Newport,240
213021345,21345,Seabrook,241
213021346,21346,Williamstown,242
213031347,21347,Braybrook,243
213031348,21348,Footscray,244
213031349,21349,Maribyrnong,245
213031350,21350,Seddon - Kingsville,246
213031351,21351,West Footscray - Tottenham,247
213031352,21352,Yarraville,248
213041353,21353,Bacchus Marsh,249
213041354,21354,Caroline Springs,250
213041355,21355,Hillside,251
213041356,21356,Melton,252
213041357,21357,Melton South,253
213041358,21358,Melton West,254
213041359,21359,Rockbank - Mount Cottrell,255
213041360,21360,Taylors Hill,256
213051361,21361,Hoppers Crossing - North,257
213051362,21362,Hoppers Crossing - South,258
213051363,21363,Laverton,259
213051364,21364,Point Cook,260
213051365,21365,Tarneit,261
213051366,21366,Truganina,262
213051367,21367,Werribee,263
213051368,21368,Werribee - South,264
213051369,21369,Wyndham Vale,265
214011370,21370,Carrum Downs,266
214011371,21371,Frankston,267
214011372,21372,Frankston North,268
214011373,21373,Frankston South,269
214011374,21374,Langwarrin,270
214011375,21375,Seaford (Vic.),271
214011376,21376,Skye - Sandhurst,272
214021377,21377,Dromana,273
214021378,21378,Flinders,274
214021379,21379,Hastings - Somers,275
214021380,21380,Mornington,276
214021381,21381,Mount Eliza,277
214021382,21382,Mount Martha,278
214021383,21383,Point Nepean,279
214021384,21384,Rosebud - McCrae,280
214021385,21385,Somerville,281
